timestamp,open,high,low,close,volume
2024-12-03,91279.95000000,91590.71000000,90774.60000000,91022.05000000,13.86500615
2024-12-02,92096.25000000,93098.99000000,90011.05000000,91275.31000000,371.87919391
2024-12-01,91143.07000000,92599.99000000,90470.00000000,92099.58000000,195.27489538
2024-11-30,92138.65000000,92154.35000000,90722.66000000,91143.29000000,147.37387973
2024-11-29,90609.11000000,93535.47000000,90296.09000000,92147.09000000,370.72697579
2024-11-28,90831.46000000,91601.62000000,89731.44000000,90616.99000000,340.65417656
2024-11-27,87604.60000000,92207.53000000,87423.34000000,90854.12000000,716.47333372
2024-11-26,88922.48000000,90777.81000000,86543.90000000,87600.65000000,1087.63732168
2024-11-25,93421.69000000,94400.00000000,88070.46000000,88950.00000000,946.05680701
2024-11-24,93200.09000000,94118.48000000,91129.86000000,93421.96000000,520.88749517
2024-11-23,94705.80000000,94705.80000000,92680.84000000,93208.66000000,363.23357291
2024-11-22,93564.35000000,95501.25000000,93075.21000000,94718.42000000,1041.06144805
2024-11-21,89274.21000000,94235.00000000,89140.88000000,93554.33000000,1637.55645015
2024-11-20,87182.40000000,90088.98000000,86446.65000000,89280.02000000,671.56658014
2024-11-19,85409.31000000,88742.51000000,85337.81000000,87157.00000000,693.28942984
2024-11-18,85046.28000000,87599.00000000,84594.12000000,85423.38000000,703.24208600
2024-11-17,85667.74000000,86397.38000000,83913.99000000,85016.99000000,389.00874594
2024-11-16,86256.73000000,86900.22000000,85171.44000000,85665.95000000,220.55102249
2024-11-15,82893.06000000,87076.83000000,82621.18000000,86260.52000000,532.44187883
2024-11-14,85286.00000000,87076.83000000,82317.57000000,82917.20000000,877.49846428
2024-11-13,82311.26000000,88000.00000000,80903.15000000,85278.66000000,1364.44961113
2024-11-12,82273.98000000,84457.98000000,75700.00000000,82334.41000000,1838.12262283
2024-11-11,74780.73000000,82900.00000000,74639.10000000,82274.06000000,1441.28614835
2024-11-10,71562.42000000,75699.99000000,71388.80000000,74757.19000000,760.24717970
2024-11-09,71418.19000000,71777.77000000,70664.61000000,71550.49000000,166.98838724
2024-11-08,70324.72000000,72088.30000000,70132.73000000,71421.23000000,269.30354873
2024-11-07,70340.00000000,71193.11000000,68901.04000000,70292.42000000,400.31083733
2024-11-06,63517.03000000,71149.78000000,63423.44000000,70304.54000000,1364.77495693
2024-11-05,62348.64000000,64637.98000000,62022.59000000,63491.53000000,282.78464079
2024-11-04,63408.26000000,63791.42000000,61410.68000000,62357.98000000,301.31622731
2024-11-03,64132.60000000,64169.66000000,62351.09000000,63426.11000000,359.15274360
2024-11-02,64144.26000000,64537.47000000,63776.12000000,64124.73000000,48.98607369
2024-11-01,64506.42000000,65968.48000000,63230.24000000,64175.87000000,258.86695384
2024-10-31,66595.95000000,66893.60000000,63946.30000000,64506.43000000,308.79554682
2024-10-30,67148.64000000,67174.82000000,65914.41000000,66607.40000000,252.20350371
2024-10-29,64636.79000000,68000.00000000,64422.84000000,67134.23000000,707.11838829
2024-10-28,62928.68000000,64932.23000000,62623.13000000,64634.89000000,326.05451082
2024-10-27,62155.83000000,63198.15000000,61985.78000000,62928.34000000,106.17886596
2024-10-26,61740.05000000,62453.74000000,61565.45000000,62136.66000000,65.10975685
2024-10-25,62979.27000000,63463.91000000,60776.28000000,61744.48000000,235.57270922
2024-10-24,61803.03000000,63574.05000000,61629.62000000,62976.58000000,313.65572182
2024-10-23,62400.56000000,62400.56000000,60465.00000000,61791.39000000,165.08982555
2024-10-22,62160.00000000,62777.00000000,61420.41000000,62408.10000000,387.06914029
2024-10-21,63445.78000000,63900.00000000,61649.96000000,62154.91000000,513.43364230
2024-10-20,62840.49000000,63779.18000000,62597.49000000,63433.63000000,126.77171012
2024-10-19,62966.41000000,63186.47000000,62268.10000000,62835.98000000,91.10108229
2024-10-18,62200.36000000,63499.99000000,61956.89000000,62976.42000000,452.48284802
2024-10-17,62235.03000000,62509.07000000,61444.00000000,62185.80000000,204.80844458
2024-10-16,61574.43000000,62759.72000000,61274.78000000,62222.06000000,284.82937583
2024-10-15,60413.47000000,62200.00000000,59377.80000000,61565.84000000,405.94917438
2024-10-14,57516.93000000,60999.00000000,57148.57000000,60393.03000000,497.97698980
2024-10-13,57721.17000000,57789.17000000,56653.98000000,57519.27000000,148.87016103
2024-10-12,57164.90000000,58003.83000000,57119.07000000,57728.29000000,101.28575501
2024-10-11,55142.72000000,57977.43000000,54950.51000000,57140.17000000,224.21897559
2024-10-10,55370.10000000,56058.68000000,53904.09000000,55146.64000000,220.05098312
2024-10-09,56623.09000000,57004.21000000,55090.00000000,55379.26000000,184.88185859
2024-10-08,56703.35000000,57573.30000000,56373.07000000,56607.21000000,159.12921466
2024-10-07,57256.48000000,58723.00000000,56600.00000000,56722.36000000,207.05337233
2024-10-06,56522.61000000,57354.13000000,56300.00000000,57248.79000000,92.42354624
2024-10-05,56588.84000000,56831.74000000,56187.41000000,56505.53000000,58.20658723
2024-10-04,55047.76000000,56945.23000000,54785.63000000,56572.45000000,229.25658222
2024-10-03,54893.39000000,55719.54000000,54237.15000000,55053.60000000,325.96403893
2024-10-02,54908.65000000,56446.85000000,54301.00000000,54905.63000000,314.17660861
2024-10-01,56850.00000000,57713.90000000,54301.02000000,54900.00000000,332.62712344
2024-09-30,58752.02000000,58757.86000000,56421.56000000,56853.11000000,284.50661756
2024-09-29,59006.02000000,59130.89000000,58620.64000000,58742.25000000,99.07191940
2024-09-28,58959.93000000,59348.82000000,58610.19000000,58982.04000000,83.33974660
2024-09-27,58329.32000000,59528.74000000,58057.40000000,58936.22000000,271.49194403
2024-09-26,56715.02000000,58940.47000000,56281.39000000,58315.28000000,324.94929400
2024-09-25,57453.84000000,57924.98000000,56526.64000000,56730.08000000,169.19799330
2024-09-24,57003.00000000,57822.22000000,56259.42000000,57426.47000000,218.53383368
2024-09-23,56988.75000000,57970.81000000,56080.15000000,56985.67000000,223.72967754
2024-09-22,56772.76000000,57321.60000000,55883.34000000,57001.09000000,146.12246921
2024-09-21,56605.64000000,56937.10000000,56211.31000000,56753.13000000,53.43438343
2024-09-20,56396.66000000,57414.44000000,55813.70000000,56634.75000000,198.00698897
2024-09-19,55571.01000000,57241.75000000,55438.04000000,56385.95000000,329.06309665
2024-09-18,54261.74000000,55604.62000000,53223.45000000,55562.82000000,337.00000766
2024-09-17,52290.93000000,55193.91000000,51790.06000000,54226.05000000,364.06498608
2024-09-16,53320.98000000,53409.25000000,51650.17000000,52276.88000000,227.43877981
2024-09-15,54168.55000000,54488.83000000,52959.70000000,53343.95000000,156.99599343
2024-09-14,54674.74000000,54756.51000000,53700.00000000,54164.78000000,96.08980267
2024-09-13,52489.57000000,54781.85000000,52007.60000000,54673.01000000,250.20037654
2024-09-12,52130.02000000,53116.26000000,51955.86000000,52494.18000000,260.61066202
2024-09-11,52319.39000000,52657.81000000,50490.85000000,52074.02000000,281.19770213
2024-09-10,51723.22000000,52649.00000000,51105.34000000,52311.79000000,212.94548070
2024-09-09,49526.79000000,52624.00000000,49315.32000000,51718.32000000,448.96083805
2024-09-08,48922.03000000,49905.18000000,48417.29000000,49505.02000000,188.58514830
2024-09-07,48768.11000000,49585.80000000,48548.32000000,48900.38000000,218.48358020
2024-09-06,50560.77000000,51382.12000000,47428.66000000,48768.11000000,631.99766844
2024-09-05,52320.31000000,52652.63000000,50084.23000000,50556.80000000,241.17270351
2024-09-04,52036.77000000,52835.55000000,50354.20000000,52323.86000000,397.29997213
2024-09-03,53444.24000000,54065.45000000,51964.87000000,52033.15000000,287.13574297
2024-09-02,51911.95000000,53700.00000000,51709.51000000,53430.92000000,233.61573622
2024-09-01,53385.08000000,53476.90000000,51802.75000000,51931.36000000,203.81632762
2024-08-31,53553.35000000,53855.82000000,53200.00000000,53405.31000000,60.22093735
2024-08-30,53585.98000000,54096.18000000,52280.00000000,53546.16000000,231.76194306
2024-08-29,53109.73000000,55248.92000000,52921.58000000,53604.00000000,286.41399895
2024-08-28,53225.11000000,54189.93000000,52100.00000000,53088.39000000,326.99133822
2024-08-27,56289.73000000,56613.32000000,51950.00000000,53225.98000000,464.08729339
